Year,Month,Sum of SalesVolume running total in Year,Sum of SalesVolume
2015,December,325672,14849
2016,January,237824,11205
2016,February,250748,12056
2016,March,311620,20292
2016,April,291118,9160
2016,May,323736,9763
2016,June,348677,11157
2016,July,360962,13191
2016,August,354428,13197
2016,September,326527,12452
2016,October,340988,11552
2016,November,323189,0
2016,December,325672,0
